initial_state,h1_steps,h1_expanded,h2_steps,h2_expanded,h3_steps,h3_expanded
"[2, 4, None, 3, 1, 9, 6, 11, 5, 7, 8, 14, 13, 10, 15, 12]",TIMEOUT,TIMEOUT,31,21616,31,44163
"[1, 3, 4, 8, 2, 6, 7, 12, 5, 13, 14, 11, 9, None, 10, 15]",19,477,19,110,19,125
"[3, 5, None, 4, 6, 2, 7, 8, 9, 10, 1, 12, 13, 14, 11, 15]",25,60211,25,2943,25,4780
"[1, 2, 3, 8, 5, 6, 12, 4, 9, 11, None, 15, 13, 10, 7, 14]",23,27252,23,2567,23,3191
"[2, 6, 5, 4, 9, 1, 3, 7, None, 14, 11, 10, 13, 15, 12, 8]",23,6664,23,201,23,303
"[1, 2, 3, 4, 5, 6, 11, 7, 13, 9, 12, 14, 15, None, 10, 8]",19,1857,19,150,19,174
"[1, 2, None, 4, 6, 9, 7, 12, 10, 13, 3, 11, 5, 14, 15, 8]",TIMEOUT,TIMEOUT,31,34692,31,55187
"[None, 8, 2, 6, 4, 9, 10, 3, 1, 5, 15, 7, 13, 14, 12, 11]",TIMEOUT,TIMEOUT,37,42740,37,140291
"[1, 2, 3, 4, 13, 10, 12, None, 14, 9, 7, 6, 5, 8, 11, 15]",TIMEOUT,TIMEOUT,31,10251,31,26369
"[2, 6, 1, 4, 9, 10, 5, 3, 13, 7, 11, 8, 14, None, 15, 12]",TIMEOUT,TIMEOUT,29,16916,29,25081
"[5, 1, 4, 8, 2, 6, 7, 3, 9, 10, 11, 12, 13, 14, 15, None]",17,363,17,150,17,155
"[1, 15, 2, 3, 9, 6, 7, 8, 5, 14, 11, 4, 13, None, 10, 12]",TIMEOUT,TIMEOUT,33,108934,TIMEOUT,TIMEOUT
"[2, 1, 6, 4, 13, None, 10, 3, 14, 12, 7, 9, 15, 5, 11, 8]",TIMEOUT,TIMEOUT,39,139881,TIMEOUT,TIMEOUT
"[1, 3, 4, 6, 10, None, 2, 5, 14, 15, 7, 8, 13, 9, 11, 12]",TIMEOUT,TIMEOUT,31,7342,33,71558
"[5, 2, 7, 3, 9, 6, 11, 4, 1, 8, None, 12, 13, 10, 14, 15]",23,11731,23,1134,23,1312
"[6, 11, 1, 12, 2, None, 4, 15, 13, 8, 9, 7, 10, 5, 3, 14]",TIMEOUT,TIMEOUT,43,176430,TIMEOUT,TIMEOUT
"[2, 10, 8, 3, 5, 1, 9, 4, None, 11, 6, 12, 13, 7, 14, 15]",25,22358,25,311,25,635
"[None, 2, 8, 3, 5, 6, 1, 4, 9, 10, 7, 11, 14, 15, 13, 12]",TIMEOUT,TIMEOUT,29,10592,29,15607
"[2, 3, 6, 4, 10, 9, 5, None, 1, 7, 11, 8, 13, 14, 15, 12]",19,906,19,36,19,49
"[9, 4, 5, 11, 2, None, 1, 3, 14, 10, 8, 7, 6, 13, 15, 12]",TIMEOUT,TIMEOUT,31,592,31,2850
"[5, 1, 7, 6, 3, 11, 2, 4, 13, 14, None, 8, 10, 9, 15, 12]",TIMEOUT,TIMEOUT,29,1795,29,5982
"[5, 1, 7, 2, 9, 3, 10, 4, 6, 14, 8, 15, 13, 11, 12, None]",25,13456,25,325,25,567
"[1, 11, None, 3, 5, 15, 2, 4, 9, 6, 10, 7, 13, 14, 8, 12]",25,64024,25,1701,25,3129
"[3, 11, None, 4, 6, 2, 1, 8, 9, 7, 14, 15, 10, 5, 12, 13]",TIMEOUT,TIMEOUT,35,12335,35,43615
"[None, 10, 4, 8, 2, 13, 6, 7, 1, 5, 15, 3, 9, 14, 11, 12]",TIMEOUT,TIMEOUT,35,70662,35,152968
"[5, 1, 3, 4, 2, None, 7, 9, 13, 10, 11, 12, 14, 15, 6, 8]",TIMEOUT,TIMEOUT,33,69311,33,141044
"[2, 1, 4, 8, 6, None, 3, 12, 7, 5, 10, 11, 9, 13, 14, 15]",25,24799,25,1821,25,2296
"[1, 3, None, 4, 5, 2, 7, 15, 9, 14, 8, 10, 13, 12, 6, 11]",21,4901,21,67,21,197
"[1, 2, 6, 4, 5, 12, 11, 8, None, 9, 7, 15, 13, 3, 10, 14]",TIMEOUT,TIMEOUT,29,10896,29,21873
"[2, 6, 4, 8, 1, 9, 3, 12, None, 13, 11, 7, 14, 10, 5, 15]",25,15134,25,335,25,696
"[1, 14, 6, 8, 5, None, 3, 10, 9, 7, 4, 2, 13, 15, 12, 11]",TIMEOUT,TIMEOUT,29,2083,29,5975
"[7, 2, 3, 4, 9, 5, 6, 8, 10, 11, None, 1, 13, 14, 15, 12]",TIMEOUT,TIMEOUT,29,16242,29,36697
"[1, 5, 2, 4, 9, 6, 3, 10, 13, 12, 7, 11, 15, None, 14, 8]",TIMEOUT,TIMEOUT,29,5962,29,10529
"[6, 1, 3, 4, 10, None, 7, 8, 2, 13, 15, 11, 5, 9, 14, 12]",19,715,19,44,19,60
"[2, 7, 10, 3, 1, 9, 4, 8, 5, 6, None, 12, 13, 14, 11, 15]",23,12422,23,932,23,1295
"[10, 8, 4, 3, 13, 1, 5, None, 9, 15, 6, 2, 14, 7, 12, 11]",TIMEOUT,TIMEOUT,39,35381,TIMEOUT,TIMEOUT
"[1, 2, 3, 4, 6, 8, 11, 12, 5, 9, 15, 14, 13, 10, 7, None]",19,1456,19,131,19,149
"[1, 2, 3, 4, 9, 6, 10, None, 11, 14, 8, 7, 13, 12, 5, 15]",25,54652,25,1259,25,2211
"[5, 1, 2, 3, 10, 7, 14, 6, 15, 8, 4, 11, 9, 13, 12, None]",TIMEOUT,TIMEOUT,31,962,31,3417
"[2, 4, 3, 12, 1, 9, 8, None, 6, 10, 15, 11, 5, 13, 7, 14]",TIMEOUT,TIMEOUT,35,72894,35,132285
"[2, 1, 10, 4, 3, None, 15, 6, 5, 12, 9, 8, 13, 14, 7, 11]",TIMEOUT,TIMEOUT,33,15550,33,44940
"[5, 1, 2, 3, 9, 6, 7, 4, None, 13, 10, 8, 14, 15, 11, 12]",15,33,15,23,15,23
"[2, 5, 3, 4, 1, 6, 7, 8, 13, 9, 15, 11, 10, None, 14, 12]",15,108,15,40,15,45
"[1, 6, 2, 4, 5, None, 10, 8, 7, 11, 3, 12, 9, 13, 14, 15]",17,469,17,73,17,83
"[1, 6, 4, 2, 10, 3, 11, 8, 5, 13, None, 12, 9, 7, 14, 15]",TIMEOUT,TIMEOUT,31,29652,31,52615
"[6, 5, 3, 7, 9, 1, 4, 15, 13, 12, 2, 8, 14, None, 11, 10]",TIMEOUT,TIMEOUT,37,69566,TIMEOUT,TIMEOUT
"[1, 9, 4, 11, 6, None, 7, 3, 5, 14, 2, 15, 13, 10, 12, 8]",TIMEOUT,TIMEOUT,33,18704,33,59812
"[3, 2, 4, 8, 1, None, 14, 6, 9, 5, 11, 12, 10, 13, 15, 7]",TIMEOUT,TIMEOUT,29,4715,29,10300
"[1, 7, 2, 4, 6, 3, 11, 8, 5, 13, None, 14, 9, 12, 15, 10]",25,44914,25,610,25,1440
"[1, 3, 4, 8, 9, 10, 14, None, 2, 5, 12, 15, 13, 6, 11, 7]",TIMEOUT,TIMEOUT,31,4885,31,15383
"[3, 4, 12, 6, 2, 5, 1, None, 9, 14, 10, 8, 13, 11, 15, 7]",TIMEOUT,TIMEOUT,31,1955,31,6244
"[9, 1, None, 7, 2, 6, 4, 3, 10, 5, 11, 8, 13, 14, 15, 12]",19,684,19,89,19,105
"[1, 2, 4, 8, 5, 11, 12, 6, 9, 7, None, 15, 13, 10, 3, 14]",21,5802,21,158,21,243
"[2, 3, None, 7, 5, 6, 10, 4, 14, 1, 15, 8, 9, 13, 12, 11]",25,17996,25,396,25,979
"[2, 6, 4, 11, 1, 10, 7, 9, None, 13, 8, 3, 14, 5, 15, 12]",TIMEOUT,TIMEOUT,33,9290,33,24814
"[1, 2, 3, 4, 14, 7, 6, None, 9, 10, 5, 12, 13, 8, 11, 15]",TIMEOUT,TIMEOUT,31,34765,31,78533
"[1, 2, 7, 5, 9, 12, 3, 4, 10, 14, 15, 6, 13, None, 8, 11]",TIMEOUT,TIMEOUT,35,47106,35,155430
"[1, 2, 6, 4, 5, 13, 7, 3, 9, 11, 12, 8, 10, None, 14, 15]",TIMEOUT,TIMEOUT,29,23218,29,43596
"[2, 8, 3, 4, 5, None, 12, 10, 7, 1, 6, 15, 14, 9, 13, 11]",TIMEOUT,TIMEOUT,31,2028,31,8115
"[5, 2, 8, 3, 6, 1, 14, 4, 9, 13, 10, 11, 7, None, 15, 12]",TIMEOUT,TIMEOUT,31,11402,31,28589
"[1, 2, 3, 12, 9, 5, 4, 8, 10, 7, None, 6, 13, 14, 11, 15]",23,22330,23,1280,23,1816
"[5, 1, None, 3, 2, 9, 10, 4, 13, 7, 12, 6, 14, 11, 8, 15]",29,199703,29,1347,29,3384
"[5, 1, 4, 8, 3, 7, 10, None, 14, 12, 13, 6, 9, 2, 11, 15]",TIMEOUT,TIMEOUT,33,1510,33,7614
"[1, 6, 8, 2, 9, 7, 4, None, 10, 5, 11, 3, 13, 14, 15, 12]",23,13121,23,908,23,1259
"[1, 7, None, 8, 5, 6, 4, 2, 9, 13, 3, 12, 10, 11, 14, 15]",27,115309,27,2840,27,5912
"[2, 3, None, 4, 1, 5, 7, 15, 6, 13, 12, 10, 9, 8, 14, 11]",TIMEOUT,TIMEOUT,33,17442,33,54588
"[2, 12, 3, 4, 1, 14, 6, 7, 5, 13, 11, 8, 9, 10, 15, None]",TIMEOUT,TIMEOUT,29,6118,29,11706
"[2, 3, None, 4, 1, 7, 11, 8, 5, 9, 6, 12, 13, 10, 14, 15]",13,24,13,16,13,16
"[1, 2, 3, 4, 5, 6, 11, 7, 13, 8, None, 12, 14, 9, 15, 10]",17,922,17,105,17,140
"[1, 2, 15, 3, 7, None, 4, 8, 12, 5, 14, 11, 6, 9, 10, 13]",TIMEOUT,TIMEOUT,37,38841,37,108033
"[5, 1, 4, 7, 9, 6, 3, 14, 13, 11, 12, 8, 10, None, 15, 2]",TIMEOUT,TIMEOUT,35,31126,35,114375
"[5, 1, 2, 4, 6, 7, 10, 8, 13, 9, 3, 11, 14, None, 15, 12]",17,208,17,43,17,43
"[1, 6, 2, 4, 5, 14, 7, None, 11, 10, 8, 15, 12, 13, 9, 3]",TIMEOUT,TIMEOUT,37,54010,37,181232
"[1, 2, 4, 8, 5, 6, 3, 12, 11, 7, None, 15, 9, 13, 10, 14]",17,250,17,29,17,29
"[1, 7, 10, 2, 5, 12, 6, 8, None, 13, 4, 3, 14, 9, 11, 15]",TIMEOUT,TIMEOUT,31,4386,31,10445
"[None, 1, 2, 3, 6, 10, 7, 4, 9, 5, 13, 8, 14, 11, 15, 12]",23,6724,23,477,23,703
"[6, 1, 4, 15, 10, None, 2, 3, 9, 12, 13, 7, 5, 14, 8, 11]",TIMEOUT,TIMEOUT,39,85327,TIMEOUT,TIMEOUT
"[5, 1, 2, 4, 7, None, 8, 14, 9, 6, 15, 3, 11, 10, 13, 12]",TIMEOUT,TIMEOUT,31,5257,31,14745
"[2, 6, 4, 7, 9, 14, 10, 3, 1, 13, 5, 8, 15, 12, 11, None]",TIMEOUT,TIMEOUT,35,9010,35,26894
"[5, 4, 2, 12, 13, 8, 7, 1, None, 6, 3, 15, 14, 11, 9, 10]",TIMEOUT,TIMEOUT,41,73814,TIMEOUT,TIMEOUT
"[1, 3, None, 4, 10, 2, 9, 8, 6, 5, 7, 11, 13, 14, 15, 12]",17,597,17,99,17,129
"[1, 14, 4, 8, 5, None, 3, 11, 10, 6, 7, 12, 9, 2, 13, 15]",TIMEOUT,TIMEOUT,31,17286,31,27884
"[1, 2, 12, 3, 6, 9, 7, 4, 13, 5, None, 8, 11, 14, 10, 15]",TIMEOUT,TIMEOUT,29,6723,29,15205
